treatmentstring,n,category,group
pulmonary|medications|bronchodilator|beta-agonist|isoproterenol (Isuprel),229,,
cardiovascular|ventricular dysfunction|nitroglycerin|sublingual,228,,
oncology|procedures|CT scan,227,,
endocrine|thyroid disorder|glucocorticoids|hydrocortisone,226,,
pulmonary|medications|thrombolytic agent|alteplase,224,,
cardiovascular|myocardial ischemia / infarction|alpha/beta blocker|labetalol,224,,
gastrointestinal|endoscopy/gastric instrumentation|nasogastric tube|without suction,223,,
renal|urinary catheters|suprapubic catheter|permanent bladder catheter,222,,
surgery|intravenous fluids / electrolytes|blood product administration|platelet concentrate,221,,
hematology|coagulation and platelets|anticoagulant administration|conventional heparin therapy,221,,
surgery|cardiac therapies|inotropic agent|norepinephrine <= 0.1 micrograms/kg/min,221,,
cardiovascular|myocardial ischemia / infarction|anticoagulant administration|thrombin inhibitor|argatroban,221,,
cardiovascular|other therapies|systemic glucocorticoid|parenteral,221,,
cardiovascular|non-operative procedures|catheter ablation of lesion of heart,220,,
"gastrointestinal|radiology, diagnostic and procedures|abscess drainage procedure",220,,
surgery|cardiac therapies|antiplatelet agent,220,,
cardiovascular|ventricular dysfunction|nitroglycerin|transdermal,219,,
"gastrointestinal|radiology, diagnostic and procedures|creation of portal-systemic shunt|TIPS",219,,
endocrine|electrolyte correction|treatment of hyponatremia|hypertonic fluid,217,,
neurologic|procedures / diagnostics|angiogram|with infusion of vasodilator,215,,
renal|electrolyte correction|treatment of hyponatremia|isotonic fluid,214,,
endocrine|pituitary and temperature regulation|active external rewarming|warming blanket,212,,
cardiovascular|ventricular dysfunction|oral diuretic|metolazone (Zaroxolyn),212,,
endocrine|electrolyte correction|vitamin D administration,212,,
cardiovascular|hypertension|beta blocker|propranolol,210,,
cardiovascular|hypertension|sedative agent|dexmedetomidine,210,,
oncology|procedures|radiation therapy,209,,
renal|consultations|Transplant surgery consultation,209,,
renal|medications|oral diuretic|thiazides,207,,
neurologic|procedures / diagnostics|angiogram|with cerebral angioplasty,207,,
surgery|infection|therapeutic antibacterials|quinolone|levofloxacin,206,,
burns/trauma|intravenous fluids|blood product administration|fresh frozen plasma,206,,
pulmonary|medications|anticoagulant administration|low molecular weight heparin,205,,
cardiovascular|vascular disorders|anticoagulant administration|thrombin inhibitors|argatroban,205,,
cardiovascular|non-operative procedures|pericardiocentesis,204,,
toxicology|drug overdose|normal saline solution|fluid bolus (250-1000 mls),203,,
surgery|pulmonary therapies|oxygen therapy (> 60%),203,,
cardiovascular|arrhythmias|antiarrhythmics|class III antiarrhythmic|sotalol,203,,
gastrointestinal|medications|laxatives|mineral oil,203,,
renal|intravenous fluid|fluid restriction,202,,
cardiovascular|non-operative procedures|cardiac angiography|with thrombolysis,202,,
gastrointestinal|medications|stress ulcer treatment|omeprazole,201,,
gastrointestinal|medications|analgesics|continuous parenteral analgesics,201,,
gastrointestinal|medications|prokinetic agent|erythromycin,200,,
pulmonary|vascular disorders|CT scan,199,,
neurologic|procedures / diagnostics|neurosurgery|laminectomy|thoracic,199,,
cardiovascular|hypertension|analgesics|non-narcotic analgesic,199,,
neurologic|therapy for controlling cerebral perfusion pressure|vasopressors|epinephrine <= 0.1 micrograms/kg/min,199,,
cardiovascular|vascular disorders|thrombolytic agent,198,,
neurologic|ICH/ cerebral infarct|antihypertensives|nitroprusside,198,,
cardiovascular|non-operative procedures|non-cardiac angiography|carotid angiogram,197,,
cardiovascular|ventricular dysfunction|calcium channel blocker,197,,
cardiovascular|ventricular dysfunction|alpha/beta blocker|labetalol,197,,
pulmonary|medications|anticoagulant administration|coumadin,195,,
neurologic|procedures / diagnostics|neurosurgery|diagnostic craniotomy,194,,
pulmonary|radiologic procedures / bronchoscopy|endotracheal tube|repositioning,193,,
surgery|consultations|Infectious Disease consultation,193,,
infectious diseases|cultures / immuno-assays|cultures|urine|voided,192,,
renal|medications|glucocorticoid administration,190,,
cardiovascular|intravenous fluid|blood product administration|cryoprecipitate,190,,
surgery|seizure therapy|anticonvulsant,189,,
cardiovascular|arrhythmias|antiarrhythmics|class I antiarrhythmic|flecainide,188,,
pulmonary|surgery / incision and drainage of thorax|thoracoscopic procedure|pleurodesis,188,,
cardiovascular|vascular disorders|angiography|venogram,187,,
cardiovascular|other therapies|antibacterials|empiric antibacterial therapy,187,,
endocrine|intravenous fluid administration|hypotonic fluid administration,186,,
gastrointestinal|medications|stress ulcer prophylaxis|antacids,185,,
surgery|seizure therapy|anticonvulsant|gabapentin,185,,
surgery|consultations|Cardiology consultation,185,,
renal|intravenous fluid|blood product administration,185,,
burns/trauma|intravenous fluids|Lactated Ringer's administration,184,,
infectious diseases|cultures / immuno-assays|legionnaire's serology,183,,
surgery|cardiac therapies|antiplatelet agent|aggregation inhibitors|clopidogrel,182,,
surgery|GI therapies|stress ulcer prophylaxis|proton pump inhibitor|pantoprazole oral,182,,
hematology|coagulation and platelets|plasmapheresis,182,,
toxicology|drug overdose|agent specific therapy|beta blockers overdose|glucagon,181,,
cardiovascular|intravenous fluid|fluid restriction,181,,
cardiovascular|vascular disorders|VTE prophylaxis|factor Xa Inhibitor,180,,
surgery|infection|therapeutic antibacterials|metronidazole,179,,
pulmonary|surgery / incision and drainage of thorax|pulmonary resection,179,,
pulmonary|medications|antibacterials|third generation cephalosporin|ceftazidime,179,,
surgery|intravenous fluids / electrolytes|administration of electrolytes|calcium,179,,
neurologic|neuromyopathy therapy|plasmapheresis,179,,
surgery|cardiac therapies|vasopressors|epinephrine <= 0.1 micrograms/kg/min,178,,
cardiovascular|shock|inotropic agent|digoxin,178,,
neurologic|procedures / diagnostics|intracranial/cerebral perfusion pressure monitoring|fiberoptic monitor,177,,
surgery|pulmonary therapies|bronchodilator|ipratropium,177,,
renal|dialysis|insertion of venous catheter for hemodialysis|tunneled catheter,176,,
gastrointestinal|medications|antibiotics|quinolone,176,,
hematology|coagulation and platelets|recombinant activated factor VIIa,176,,
neurologic|therapy for controlling cerebral perfusion pressure|sedative agent|midazolam,176,,
pulmonary|ventilation and oxygenation|CPAP/PEEP therapy|reduce CPAP as tolerated,175,,
cardiovascular|myocardial ischemia / infarction|angiotensin II receptor blocker (ARB),174,,
cardiovascular|other therapies|systemic glucocorticoid|stress doses,174,,
infectious diseases|procedures|MRI,173,,
surgery|seizure therapy|anticonvulsant|levetiracetam,173,,
pulmonary|vascular disorders|anticoagulant administration|conventional heparin therapy,172,,
neurologic|therapy for controlling cerebral perfusion pressure|vasopressors,172,,
neurologic|ICH/ cerebral infarct|hypertensive / hypervolemic therapy,172,,
neurologic|neuromyopathy therapy|anticholinergic agent|atropine,171,,
infectious diseases|medications|antiviral therapy|valganciclovir,171,,
surgery|cardiac therapies|inotropic agent|dopamine <= 5 micrograms/kg/min,171,,
toxicology|drug overdose|normal saline solution|aggressive volume resuscitation (>250 mls/hr),170,,
cardiovascular|ventricular dysfunction|calcium channel blocker|diltiazem,170,,
gastrointestinal|intravenous fluid administration|hypotonic fluid administration,170,,
renal|procedures/radiology|kidney stone procedure,169,,
burns/trauma|trauma|echocardiography,169,,
toxicology|drug overdose|normal saline solution|moderate volume resuscitation (150-250 mls/hr),167,,
cardiovascular|non-operative procedures|pericardiocentesis|placement of pericardial drainage catheter,167,,
cardiovascular|myocardial ischemia / infarction|glycoprotein IIB/IIIA inhibitor|abciximab,167,,
renal|intravenous fluid|Lactated Ringer's administration|moderate volume resuscitation (150-250 mls/hr),167,,
neurologic|ICH/ cerebral infarct|anticoagulant administration|coumadin,166,,
infectious diseases|medications|antiviral therapy|valacyclovir,166,,
neurologic|ICH/ cerebral infarct|surgery,166,,
neurologic|procedures / diagnostics|neurosurgery|laminectomy,166,,
cardiovascular|hypertension|sedative agent,165,,
cardiovascular|arrhythmias|cardioversion|chemical,165,,
burns/trauma|intravenous fluids|normal saline administration|fluid bolus (250-1000mls),164,,
renal|medications|oral diuretic|metolazone (Zaroxolyn),163,,
neurologic|therapy for controlling cerebral perfusion pressure|neuromuscular blocking agent|vecuronium,163,,
surgery|intravenous fluids / electrolytes|normal saline administration|aggressive volume resuscitation (>250 mls/hr),162,,
oncology|procedures|tissue biopsy,162,,
pulmonary|ventilation and oxygenation|mechanical ventilation|volume assured,162,,
endocrine|electrolyte correction|treatment of hyperkalemia|alkalinization,161,,
endocrine|thyroid disorder|glucocorticoids|prednisone,161,,
cardiovascular|myocardial ischemia / infarction|angiotensin II receptor blocker (ARB)|valsartan,161,,
surgery|infection|cultures|urine,161,,
infectious diseases|medications|antifungal therapy|prophylactic,161,,
oncology|medications|analgesics|narcotic analgesic,160,,
cardiovascular|hypertension|ACE inhibitor|benazepril,159,,
cardiovascular|other therapies|antibacterials|carbapenem|ertapenem,159,,
cardiovascular|non-operative procedures|cardiac nuclear study,158,,
neurologic|procedures / diagnostics|neurosurgery|therapeutic craniotomy|for abscess,158,,
neurologic|seizure therapy|anticonvulsant|oxcarbazepine,158,,
infectious diseases|medications|therapeutic antibacterials|aminoglycoside,158,,
pulmonary|surgery / incision and drainage of thorax|pulmonary resection|tumor,158,,
pulmonary|vascular disorders|anticoagulant administration,157,,
cardiovascular|myocardial ischemia / infarction|antihyperlipidemic agent|gemfibrozil,157,,
burns/trauma|intravenous fluids|normal saline administration|aggressive volume resuscitation (>250 mls/hr),157,,
neurologic|seizure therapy|anticonvulsant|diazepam,156,,
"gastrointestinal|radiology, diagnostic and procedures|ultrasonography|pelvis",156,,
"gastrointestinal|radiology, diagnostic and procedures|liver biopsy",156,,
surgery|analgesics /sedatives/ nmbs|neuromuscular blocking agent|cisatracurium,156,,
surgery|infection|therapeutic antibacterials|clindamycin,154,,
gastrointestinal|medications|antiemetic|anticholinergic|meclizine,154,,
surgery|pulmonary therapies|non-invasive ventilation,154,,
endocrine|pituitary and temperature regulation|treatment for hyperthermia|external cooling,153,,
renal|medications|intravenous diuretic|chlorothiazide,152,,
surgery|cardiac therapies|vasodilator,152,,
cardiovascular|arrhythmias|antiarrhythmics|class IV antiarrhythmic|verapamil,151,,
surgery|nutrition|enteral feeds|tube feeding,151,enteral-nonspecific-intake,nutrition-enteral
renal|electrolyte correction|treatment of hyponatremia|fluid restriction,151,,
pulmonary|medications|analgesics|PCA,150,,
"gastrointestinal|radiology, diagnostic and procedures|MRI",150,,
transplant|consultations|Gastroenterology consultation,150,,
surgery|immunosuppressives|glucocorticoid administration|parenteral,149,,
surgery|infection|antifungal therapy|fluconazole,149,,
endocrine|thyroid disorder|antithyroid therapy|methimazole,149,,
endocrine|adrenal disorders|glucocorticoids|stress doses,149,,
cardiovascular|arrhythmias|anticoagulant administration|low molecular weight heparin,148,,
renal|procedures/radiology|insertion of venous catheter for hemodialysis|tunneled catheter,148,,
renal|urinary catheters|ureteral stenting,148,,
cardiovascular|hypertension|ACE inhibitor|ramipril,148,,
surgery|cardiac therapies|vasodilator|nitroprusside,147,,
cardiovascular|hypertension|analgesics|bolus parenteral analgesics,147,,
pulmonary|ventilation and oxygenation|oxygen therapy (< 40%)|non-rebreather mask,145,,
endocrine|intravenous fluid administration|hypotonic fluid administration|half-normal saline solution,145,,
infectious diseases|medications|therapeutic antibacterials|penicillins|ticarcillin/potassium clavulanate,145,,
cardiovascular|shock|inotropic agent|dopamine >15 micrograms/kg/min,144,,
surgery|cardiac therapies|inotropic agent|norepinephrine > 0.1 micrograms/kg/min,144,,
pulmonary|surgery / incision and drainage of thorax|procedure on upper respiratory tract - not tracheostomy,143,,
renal|procedures/radiology|kidney biopsy,143,,
pulmonary|surgery / incision and drainage of thorax|pulmonary resection|wedge,143,,
renal|medications|systemic antibiotics|quinolone,142,,
renal|medications|systemic antibiotics|penicillins,142,,
burns/trauma|burns|dressing change,142,,
hematology|red blood cell disorders|systemic glucocorticoid,142,,
transplant|medications|immunosuppressive therapy|cyclosporine,141,,
surgery|cardiac therapies|inotropic agent|epinephrine <= 0.1 micrograms/kg/min,141,,
